name,source,gender,wikidata,type
"Bennington Street",wikidata,,Q1754313,way
"California Street",wikidata,,Q99,way
"Chattanooga Street",wikidata,,Q1477050,way
"Dolores Street",wikidata,,Q1000321,way
"Fair Oaks Street",wikidata,,Q1550466,way
"Jersey Street",wikidata,,Q1408,way
"Lombard Street",wikidata,,Q15242635,way
"Ramona Avenue",wikidata,,Q2326609,way
"San Francisco – Oakland Bay Bridge",wikidata,,Q62;Q17042;Q232264,way
"Twin Peaks Boulevard",wikidata,,Q1344297,way
"United Nations Plaza",wikidata,,Q1065,relation
"Vicksburg Street",wikidata,,Q1066253,way
"Wawona Street",wikidata,,Q3460942,way
1,,,,way
10,,,,way
"10th Avenue",,,,way
"10th Street",,,,way
11,,,,way
"11th Avenue",,,,way
"11th Street",,,,way
12,,,,way
"123 Market Plaza",,,,way
"12th Avenue",,,,way
"12th Street",,,,way
13,,,,way
"13th Street",,,,way
14,,,,way
"14th Avenue",,,,way
"14th Street",,,,way
15,,,,way
"15th Avenue",,,,way
"15th Street",,,,way
16,,,,way
"16th Avenue",,,,way
"16th Avenue Tiled Steps",,,,way
"16th Street",,,,way
17,,,,way
"17th Avenue",,,,way
"17th Street",,,,way
18,,,,way
"18th Avenue",,,,way
"18th Street",,,,way
19,,,,way
"19th Avenue",,,,way
"19th Street",,,,relation+way
"19th Street;Mono Street",,,,way
"1st Street",,,,way
2,,,,way
20,,,,way
"20th Avenue",,,,way
"20th Street",,,,way
21,,,,way
"21st Avenue",,,,way
"21st Street",,,,way
22,,,,way
"22nd Avenue",,,,way
"22nd Street",,,,way
23,,,,way
"23rd Avenue",,,,way
"23rd Street",,,,way
24,,,,way
"24th Avenue",,,,way
"24th Street",,,,way
25,,,,way
"25th Avenue",,,,way
"25th Avenue North",,,,way
"25th Street",,,,way
"26th Avenue",,,,way
"26th Street",,,,way
"27th Avenue",,,,way
"27th Street",,,,way
"28th Avenue",,,,way
"28th Street",,,,way
"29th Avenue",,,,way
"29th Street",,,,way
"2nd Avenue",,,,way
"2nd Street",,,,relation+way
3,,,,way
"303 Second Street Plaza",,,,way
"30th Avenue",,,,way
"30th Street",,,,way
"31st Avenue",,,,way
"32nd Avenue",,,,way
"33rd Avenue",,,,way
"34th Avenue",,,,relation+way
"35th Avenue",,,,way
"36th Avenue",,,,way
"37th Avenue",,,,way
"38th Avenue",,,,way
"39th Avenue",,,,way
"3rd Avenue",,,,way
"3rd Street",,,,way
4,,,,way
"40th Avenue",,,,way
"41st Avenue",,,,way
"42nd Avenue",,,,way
"43rd Avenue",,,,way
"44th Avenue",,,,way
"45th Avenue",,,,way
"46th Avenue",,,,way
"47th Avenue",,,,way
"48th Avenue",,,,way
"4th Avenue",,,,way
"4th Street",,,,way
5,,,,way
"560 Mission Street Plaza",,,,way
"5th Avenue",,,,way
